color_name,rus_name,hex,r,g,b,hue,sat,val,id
Dove Grey,Голубь серый,#6D6C6C,109,108,108,0.0,0.0091743119266054,0.427450980392157,1
Ebb,Отлив,#E9E3E3,233,227,227,0.0,0.0257510729613734,0.913725490196078,2
Nobel,Нобелевский,#B7B1B1,183,177,177,0.0,0.0327868852459016,0.717647058823529,3
Cold Turkey,Холодная индейка,#CEBABA,206,186,186,0.0,0.0970873786407767,0.807843137254902,4
Cavern Pink,Пещерно-розовый,#E3BEBE,227,190,190,0.0,0.162995594713656,0.890196078431372,5
Tuscany,Тоскана,#C09999,192,153,153,0.0,0.203125,0.752941176470588,6
Black coffee,Черный кофе,#3B2F2F,59,47,47,0.0,0.203389830508475,0.231372549019608,7
Rosy brown,Розово-коричневый,#BC8F8F,188,143,143,0.0,0.23936170212766,0.737254901960784,8
Oriental Pink,Восточный розовый,#C69191,198,145,145,0.0,0.267676767676768,0.776470588235294,9
Woody Brown,Вуди Браун,#483131,72,49,49,0.0,0.319444444444444,0.282352941176471,10
Copper rose,Медная роза,#996666,153,102,102,0.0,0.333333333333333,0.6,11
Rose taupe,Роза серо-коричневая,#905D5D,144,93,93,0.0,0.354166666666667,0.564705882352941,12
Coral Tree,Коралловое дерево,#A86B6B,168,107,107,0.0,0.363095238095238,0.658823529411765,13
Congo Brown,Конго Браун,#593737,89,55,55,0.0,0.382022471910112,0.349019607843137,14
Light salmon pink,Светло-лососево-розовый,#FF9999,255,153,153,0.0,0.4,1,15
Tuscan red,тосканское красное,#7C4848,124,72,72,0.0,0.419354838709677,0.486274509803922,16
Geraldine,Джеральдин,#FB8989,251,137,137,0.0,0.454183266932271,0.984313725490196,17
Light coral,Светло-коралловый,#F08080,240,128,128,0.0,0.466666666666667,0.941176470588235,18
Gondola,Гондола,#261414,38,20,20,0.0,0.473684210526316,0.149019607843137,19
Jon,Джон,#3B1F1F,59,31,31,0.0,0.474576271186441,0.231372549019608,20
Middle red purple,Средний красный фиолетовый,#A55353,165,83,83,0.0,0.496969696969697,0.647058823529412,21
American brown,американский коричневый,#804040,128,64,64,0.0,0.5,0.501960784313725,22
Fuzzy Wuzzy,Пушистый Вуззи,#CC6666,204,102,102,0.0,0.5,0.8,23
Copper Rust,Медная ржавчина,#944747,148,71,71,0.0,0.52027027027027,0.580392156862745,24
Indian red,индийский красный,#CD5C5C,205,92,92,0.0,0.551219512195122,0.803921568627451,25
Lotus,Лотос,#863C3C,134,60,60,0.0,0.552238805970149,0.525490196078431,26
Tosca,Тоска,#8D3F3F,141,63,63,0.0,0.553191489361702,0.552941176470588,27
Cocoa Bean,Какао-бобы,#481C1C,72,28,28,0.0,0.611111111111111,0.282352941176471,28
Dark sienna,Сиена темная,#3C1414,60,20,20,0.0,0.666666666666667,0.235294117647059,29
Crown of Thorns,Терновый венец,#771F1F,119,31,31,0.0,0.739495798319328,0.466666666666667,30
Coral red,Кораллово-красный,#FF4040,255,64,64,0.0,0.749019607843137,1,31
Persian red,персидский красный,#CC3333,204,51,51,0.0,0.75,0.8,32
Vivaldi Red,Вивальди Красный,#EF3939,239,57,57,0.0,0.761506276150628,0.937254901960784,33
Mexican Red,Мексиканский красный,#A72525,167,37,37,0.0,0.778443113772455,0.654901960784314,34
Old Brick,Старый кирпич,#901E1E,144,30,30,0.0,0.791666666666667,0.564705882352941,35
Permanent Geranium Lake,Постоянное озеро герани,#E12C2C,225,44,44,0.0,0.804444444444444,0.882352941176471,36
Firebrick,Огнеупорный кирпич,#B22222,178,34,34,0.0,0.808988764044944,0.698039215686274,37
Falu red,Фалу красный,#801818,128,24,24,0.0,0.8125,0.501960784313725,38
Red cola,Красная кола,#B62020,182,32,32,0.0,0.824175824175824,0.713725490196078,39
Dark Tan,Темный загар,#661010,102,16,16,0.0,0.843137254901961,0.4,40
Maximum red,Максимально красный,#D92121,217,33,33,0.0,0.847926267281106,0.850980392156863,41
Blood (organ),Кровь (орган),#630F0F,99,15,15,0.0,0.848484848484849,0.388235294117647,42
Lust,Похоть,#E62020,230,32,32,0.0,0.860869565217391,0.901960784313726,43
Blood (Animal),Кровь (животное),#A41313,164,19,19,0.0,0.884146341463415,0.643137254901961,44
Mahogany,Красное дерево,#4E0606,78,6,6,0.0,0.923076923076923,0.305882352941176,45
Rustic Red,деревенский красный,#480404,72,4,4,0.0,0.944444444444444,0.282352941176471,46
Sepia,Сепия,#2B0202,43,2,2,0.0,0.953488372093023,0.168627450980392,47
Maroon,Бордовый,#420303,66,3,3,0.0,0.954545454545454,0.258823529411765,48
Chocolate,Шоколад,#370202,55,2,2,0.0,0.963636363636364,0.215686274509804,49
Blood,Кровь,#8A0303,138,3,3,0.0,0.978260869565218,0.541176470588235,50
Lonestar,Одинокая звезда,#6D0101,109,1,1,0.0,0.990825688073395,0.427450980392157,51
Deep red,Насыщенно-красный,#850101,133,1,1,0.0,0.992481203007519,0.52156862745098,52
Guardsman Red,Гвардеец Красный,#BA0101,186,1,1,0.0,0.994623655913978,0.729411764705882,53
Diesel,Дизель,#130000,19,0,0,0.0,1,0.0745098039215686,54
Blood red,Кроваво-красный,#660000,102,0,0,0.0,1,0.4,55
Maroon (HTML/CSS),Бордовый (HTML/CSS),#800000,128,0,0,0.0,1,0.501960784313725,56
Deep maroon,Насыщенный бордовый,#820000,130,0,0,0.0,1,0.509803921568627,57
Dark red,Темно-красный,#8B0000,139,0,0,0.0,1,0.545098039215686,58
Red Berry,Красная ягода,#8E0000,142,0,0,0.0,1,0.556862745098039,59
Dark candy apple red,Темный карамельно-красный,#A40000,164,0,0,0.0,1,0.643137254901961,60
University of Louisville Red,Университет Луисвилля Ред,#AD0000,173,0,0,0.0,1,0.67843137254902,61
Bright Red,Ярко-красный,#B10000,177,0,0,0.0,1,0.694117647058824,62
Boston University red,Бостонский университет красный,#CC0000,204,0,0,0.0,1,0.8,63
Rosso corsa,Россо корса,#D40000,212,0,0,0.0,1,0.831372549019608,64
Electric red,Электрический красный,#E60000,230,0,0,0.0,1,0.901960784313726,65
Red,Красный,#FF0000,255,0,0,0.0,1,1,66
Well Read,Хорошо прочитано,#B43332,180,51,50,0.4615384615384732,0.722222222222222,0.705882352941177,67
Metallic red,Красный металлик,#A62C2B,166,44,43,0.4878048780487765,0.740963855421687,0.650980392156863,68
Peach Burst,Персиковый взрыв,#F39998,243,153,152,0.659340659340657,0.374485596707819,0.952941176470588,69
Garnet,Гранат,#733635,115,54,53,0.96774193548387,0.539130434782609,0.450980392156863,70
Pastel pink,Пастельно-розовый,#DEA5A4,222,165,164,1.034482758620685,0.261261261261261,0.870588235294118,71
Spanish pink,испанский розовый,#F7BFBE,247,191,190,1.052631578947365,0.230769230769231,0.968627450980392,72
Tamarillo,Тамарилло,#991613,153,22,19,1.3432835820895628,0.875816993464052,0.6,73
Roman,Роман,#DE6360,222,99,96,1.4285714285714302,0.567567567567568,0.870588235294118,74
Sunglo,Сунгло,#E16865,225,104,101,1.4516129032258052,0.551111111111111,0.882352941176471,75
Vivid auburn,Яркий каштановый,#922724,146,39,36,1.6363636363636402,0.753424657534247,0.572549019607843,76
Brandy,бренди,#87413F,135,65,63,1.6666666666666607,0.533333333333333,0.529411764705882,77
Tall Poppy,Высокий мак,#B32D29,179,45,41,1.7391304347826164,0.770949720670391,0.701960784313725,78
Candy apple red,Карамельно-яблочный красный,#FF0800,255,8,0,1.8823529411764703,1,1,79
Oyster Pink,Устрично-розовый,#E9CECD,233,206,205,2.1428571428571352,0.120171673819742,0.913725490196078,80
Tart Orange,Терпкий апельсин,#FB4D46,251,77,70,2.3204419889502703,0.721115537848605,0.984313725490196,81
Philippine brown,филиппинский коричневый,#5D1916,93,25,22,2.535211267605637,0.763440860215054,0.364705882352941,82
Silver pink,Серебристо-розовый,#C4AEAD,196,174,173,2.6086956521739046,0.11734693877551,0.768627450980392,83
Your Pink,Ваш розовый,#FFC3C0,255,195,192,2.857142857142847,0.247058823529412,1,84
Cornflower,Василек,#FFB0AC,255,176,172,2.8915662650602303,0.325490196078431,1,85
Sweet Brown,Сладкий коричневый,#A83731,168,55,49,3.025210084033616,0.708333333333333,0.658823529411765,86
Pastel red,Пастельно-красный,#FF6961,255,105,97,3.0379746835443067,0.619607843137255,1,87
Au Chico,Ау Чико,#97605D,151,96,93,3.103448275862075,0.384105960264901,0.592156862745098,88
Deep chestnut,Насыщенный каштановый,#B94E48,185,78,72,3.1858407079646067,0.610810810810811,0.725490196078431,89
Painite,Пейнит,#6B4947,107,73,71,3.333333333333321,0.336448598130841,0.419607843137255,90
Cocoa Brown,Коричневый какао,#301F1E,48,31,30,3.333333333333335,0.375,0.188235294117647,91
International orange (engineering),Международный оранжевый (инженерный),#BA160C,186,22,12,3.448275862068974,0.935483870967742,0.729411764705882,92
Sanguine Brown,Сангвиново-коричневый,#8D3D38,141,61,56,3.52941176470589,0.602836879432624,0.552941176470588,93
Carmine pink,карминно-розовый,#EB4C42,235,76,66,3.5502958579881505,0.719148936170213,0.92156862745098,94
Rose ebony,Розовое эбеновое дерево,#674846,103,72,70,3.6363636363636265,0.320388349514563,0.403921568627451,95
Pippin,Пиппин,#FFE1DF,255,225,223,3.749999999999986,0.125490196078431,1,96
