file_path,file_name,image_id,product_name,batch_number,date,state,color,checks_id,checks_product_id,checks_batch_number,checks_manufacture_date,checks_photo_path,checks_color_check_result,checks_comment,checks_created_at,checks_avg_r,checks_avg_g,checks_avg_b,checks_avg_lab,checks_label,checks_rus_color_name,colors_color_name,colors_rus_name,colors_hex,colors_r,colors_g,colors_b,colors_hue,colors_sat,colors_val,colors_id,products_id,products_name,products_color_description,products_color_from,products_color_to,filepath
pictures/1749647355269_1_1.jpg,1749647355269_1_1.jpg,1749647355269_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\MB06\Desktop\IT\table\dataset\pictures\1749647355269_1_1.jpg
pictures/1750333336952_2_14.jpg,1750333336952_2_14.jpg,1750333336952_2_14,,35.0,,,,14.0,92.0,35.0,2025-06-20,pictures/1750682913441_92_35.jpg,соответствует,,2025-06-23 12:48:37.425149,176.0,178.0,169.0,"[72.18534328126611, -2.360069166555512, 4.341381964537416]",,Серебряная фольга,Android green (2008-2014),Android зеленый (2008-2014),#A4C639,164.0,198.0,57.0,74.46808510638299,0.712121212121212,0.776470588235294,1020.0,,,,,,C:\Users\MB06\Desktop\IT\table\dataset\pictures\1750333336952_2_14.jpg
pictures/1750334320378_2_14.jpg,1750334320378_2_14.jpg,1750334320378_2_14,,35.0,,,,14.0,92.0,35.0,2025-06-20,pictures/1750682913441_92_35.jpg,соответствует,,2025-06-23 12:48:37.425149,176.0,178.0,169.0,"[72.18534328126611, -2.360069166555512, 4.341381964537416]",,Серебряная фольга,Android green (2008-2014),Android зеленый (2008-2014),#A4C639,164.0,198.0,57.0,74.46808510638299,0.712121212121212,0.776470588235294,1020.0,,,,,,C:\Users\MB06\Desktop\IT\table\dataset\pictures\1750334320378_2_14.jpg
pictures/1750341956453_3_32.jpg,1750341956453_3_32.jpg,1750341956453_3_32,,104.0,,,,32.0,67.0,104.0,2025-06-25,pictures/1750849922975_67_104.jpg,не соответствует,,2025-06-25 11:12:04.956231,176.0,177.0,159.0,"[71.67533975028256, -3.5770902472923582, 9.088595515481646]",,Бутон,Well Read,Хорошо прочитано,#B43332,180.0,51.0,50.0,0.4615384615384732,0.722222222222222,0.705882352941177,67.0,,,,,,C:\Users\MB06\Desktop\IT\table\dataset\pictures\1750341956453_3_32.jpg
pictures/1750672844057_2_14.jpg,1750672844057_2_14.jpg,1750672844057_2_14,,14.0,,,,4.0,2.0,14.0,2025-06-19,pictures/1750672844057_2_14.jpg,не соответствует,,2025-06-23 10:00:47.447856,177.0,180.0,173.0,"[72.8963438665815, -2.349341817556805, 3.1891420830165274]",,Серебряная фольга,Android green (2008-2014),Android зеленый (2008-2014),#A4C639,164.0,198.0,57.0,74.46808510638299,0.712121212121212,0.776470588235294,1020.0,,,,,,C:\Users\MB06\Desktop\IT\table\dataset\pictures\1750672844057_2_14.jpg
pictures/1750673352013_62_11.jpg,1750673352013_62_11.jpg,1750673352013_62_11,КЛИМ Термо,11.0,,,,5.0,62.0,11.0,2025-06-22,pictures/1750673352013_62_11.jpg,не соответствует,,2025-06-23 10:09:13.949076,173.0,178.0,173.0,"[72.05581717166861, -2.6933264648296706, 1.9311814026517826]",,Серебряная фольга,Walmart blue (1962–1964),Синий Walmart (1962–1964),#0C5DA7,12.0,93.0,167.0,208.6451612903226,0.92814371257485,0.654901960784314,1653.0,62.0,КЛИМ Термо,Порошок белого цвета,белый,белый,C:\Users\MB06\Desktop\IT\table\dataset\pictures\1750673352013_62_11.jpg
pictures/1750675139846_54_20.jpg,1750675139846_54_20.jpg,1750675139846_54_20,Бутиплюс,20.0,,,,6.0,54.0,20.0,2025-06-20,pictures/1750675139846_54_20.jpg,не соответствует,,2025-06-23 10:39:02.991143,174.0,179.0,173.0,"[72.3992761639936, -2.8766092782764874, 2.439508156330361]",,Серебряная фольга,Matrix,Матрица,#B05D54,176.0,93.0,84.0,5.869565217391304,0.522727272727273,0.690196078431373,120.0,54.0,Бутиплюс,Порошок белого цвета,белый,белый,C:\Users\MB06\Desktop\IT\table\dataset\pictures\1750675139846_54_20.jpg
pictures/1750680400709_50_109.jpg,1750680400709_50_109.jpg,1750680400709_50_109,Антибактер 2,109.0,,,,7.0,50.0,109.0,2025-06-20,pictures/1750680400709_50_109.jpg,не соответствует,,2025-06-23 12:06:43.500958,173.0,176.0,168.0,"[71.39317585245607, -2.5419271933005416, 3.7153861510551778]",,Серебряная чаша,Deep red,Насыщенно-красный,#850101,133.0,1.0,1.0,0.0,0.992481203007519,0.52156862745098,52.0,50.0,Антибактер 2,Порошок от бежевого до светло-зеленого цвета,бежевый,светло-зеленый,C:\Users\MB06\Desktop\IT\table\dataset\pictures\1750680400709_50_109.jpg
pictures/1750681362014_78_91.jpg,1750681362014_78_91.jpg,1750681362014_78_91,СабКонтрол,91.0,,,,8.0,78.0,91.0,2025-06-20,pictures/1750681362014_78_91.jpg,не соответствует,,2025-06-23 12:22:45.013811,171.0,172.0,163.0,"[70.04071445233294, -2.013027187559413, 4.493340025848158]",,Темно-серый,Hemp,Конопля,#907874,144.0,120.0,116.0,8.571428571428575,0.194444444444444,0.564705882352941,158.0,78.0,СабКонтрол,Порошок светло-серого цвета,светло-серый,светло-серый,C:\Users\MB06\Desktop\IT\table\dataset\pictures\1750681362014_78_91.jpg
pictures/1750681775804_78_92.jpg,1750681775804_78_92.jpg,1750681775804_78_92,СабКонтрол,92.0,,,,9.0,78.0,92.0,2025-06-22,pictures/1750681775804_78_92.jpg,не соответствует,,2025-06-23 12:29:38.309922,172.0,173.0,167.0,"[70.48853528911646, -1.466308717362086, 2.9458212734487565]",,Серебряная чаша,Hemp,Конопля,#907874,144.0,120.0,116.0,8.571428571428575,0.194444444444444,0.564705882352941,158.0,78.0,СабКонтрол,Порошок светло-серого цвета,светло-серый,светло-серый,C:\Users\MB06\Desktop\IT\table\dataset\pictures\1750681775804_78_92.jpg
