id,name,color_description,color_from,color_to
1,Пробитокс АВ,порошок от серого до бежевого цвета,Серый,Бежевый
2,Этоксол AN,порошок от светло-коричневого до коричневого цвета,Светло-коричневый,Коричневый
3,Кетомилк энерджи,"Порошок от светло-желтого до желтого цвета ",светло-желтый,желтый
49,FreeFarm H,Порошок светло-серого цыета с зеленоватым оттенком,светлый,серый
50,Антибактер 2,Порошок от бежевого до светло-зеленого цвета,бежевый,светло-зеленый
51,БензоБак 1,Порошок от белого до светло-бежевого цвета,белый,светло-бежевый
52,БензоБак 2,Порошок от белого до светло-бежевого цвета,белый,светло-бежевый
53,БиоОмега-3,Порошок бежевого цвета,бежевый,бежевый
54,Бутиплюс,Порошок белого цвета,белый,белый
55,ГИДРОИОНИТ,Порошок от белого до светло-желтого цвета,белый,светло-желтый
56,ДИАПРОТЕКТ,Порошок от светло-коричневого до темно-коричневого цвета,светло-коричневый,темно-коричневый
57,КАРБОМИЛК ДРАЙ ПЛЮС,Порошок от бежевого до светло-бурого,бежевый,светло-бурый
58,КАРБОМИЛК ЛАКТО ПРО,Порошок,,
59,КЕТОМИЛК ЭНЕРДЖИ ДРЕНЧ,Порошок от светло-желтого до желтого цвета,светло-желтый,желтый
60,КЛИМ,Порошок белого цвета,белый,белый
61,КЛИМ ПИГ,Порошок белого цвета,белый,белый
62,КЛИМ Термо,Порошок белого цвета,белый,белый
63,КЛИМ Термо+,Порошок белого цвета,белый,белый
64,ЛактоИст Био,Порошок светло-бежевого цвета,светло-бежевый,светло-бежевый
65,Лаурэкс-М,Порошок от серого до бежевого цвета,серый,бежевый
66,ЛизоМетХелато Драй,Порошок от бежевого до серого цвета,бежевый,серый
67,Липид Форте,Порошок от бежевого до серого цвета,бежевый,серый
68,МиоСорб,Порошок от светло-желтого до белого цвета,светло-желтый,белый
69,МиоСорб Макс,Порошок от светло-желтого до белого цвета,светло-желтый,белый
70,Нео-Липид,Порошок от светло-желтого до желтого цвета,светло-желтый,желтый
71,ОптиГран Драй,Порошок белого цвета,белый,белый
72,Пробитокс,Порошок от бежевого до серого цвета,бежевый,серый
73,Пробитокс супер,Порошок от светло-кремового до светло-коричневого цвета,светло-кремовый,светло-коричневый
74,Пурмикс,Порошок,,
75,РЕГЕПАТОКСИН,Порошок от светло-серого до коричневого цвета,светло-серый,коричневый
76,РумиНорм,Порошок белого цвета,белый,белый
77,РумиНорм-М,Порошок белого цвета,белый,белый
78,СабКонтрол,Порошок светло-серого цвета,светло-серый,светло-серый
79,СабКонтрол Плюс,Порошок светло-серого цвета,светло-серый,светло-серый
80,Сальмоцил FH,Порошок от бежевого до светло-коричневго цвета,бежевый,светло-коричневый
81,СанЛайн,Порошок от белого до светло-бежевого цвета,белый,светло-бежевый
82,СанЛайн +,Порошок от светло-серого до бежевого цвета,светло-серый,бежевый
83,Сорбинол,Порошок от серого до бежевого цвета,серый,бежевый
84,СубтиТокс,Порошок от серого до бежевого цвета,серый,бежевый
85,ФайнСорб,Порошок от белого до светло-серого или светло-коричневого цвета,белый,светло-коричневый
86,ФриФарм CS,Порошок светло-бежевого цвета,светло-бежевый,светло-бежевый
87,ФриФарм Форте,Порошок от светло-бежевого до светло-серого цвета,светло-бежевый,светло-серый
88,Хроматрикс,Порошок светло-серого цвета,светло-серый,светло-серый
89,Хроматрикс-Н,Порошок светло-серого цвета,светло-серый,светло-серый
90,Хэппи Пиг,Порошок от белого до светло-бежевого цвета,белый,светло-бежевый
91,Экофит,Порошок серого цвета,серый,серый
92,Этоксол,Порошок бежевого цвета,бежевый,бежевый
93,МаксФид А 02,Порошок от белого до светло-серого цвета,белый,светло-серый
94,МаксФид Т01,Порошок от светло-кремового до светло-коричневого цвета,светло-кремовый,светло-коричневый
95,Сальмоцил F,Порошок от белого до светло-серого цвета,белый,светло-серый
96,Сальмоцил PH,Порошок светло-коричневого цвета,светло-коричневый,светло-коричневый
98,Сальмоцил FM,Порошок бело-серого цвета,белый,серый
